,usable_area,land_area,bedroom,bathroom,price,land_price,Giaytohople,Hopdongmuaban,Khongxacdinh,Sodo,Sohong
0,256.0,64.0,4.0,5.0,5100.0,2131200.0,0,0,0,0,1
1,40.0,40.0,1.0,1.0,5.0,6304800.0,0,0,1,0,0
2,220.0,110.0,8.0,5.0,15990.0,2131200.0,0,0,0,0,1
3,54.0,54.0,2.0,2.0,630.0,,0,0,0,1,0
4,105.1,105.1,,8.0,40000.0,7992000.0,0,0,0,0,1
5,270.0,270.0,,4.0,77000.0,7814400.0,0,0,0,0,1
6,110.0,110.0,3.0,1.0,8500.0,1243200.0,0,0,0,0,1
7,100.0,100.0,,,14990.0,4129200.0,0,0,0,0,1
8,100.0,85.0,3.0,2.0,6500.0,1065600.0,0,0,0,0,1
9,65.0,65.0,3.0,3.0,1850.0,3285600.0,0,0,0,0,1
10,71.0,71.0,3.0,2.0,1740.0,9768000.0,0,0,0,0,1
11,68.0,68.0,3.0,3.0,1550.0,12409800.0,0,0,0,0,1
12,73.0,73.0,4.0,3.0,1480.0,12387600.0,0,0,0,0,1
13,70.0,70.0,3.0,3.0,1450.0,13320000.0,0,0,0,0,1
14,210.0,75.0,4.0,4.0,1520.0,11055600.0,0,0,0,0,1
15,210.0,76.0,4.0,4.0,1260.0,4262400.0,0,0,0,0,1
16,210.0,72.0,4.0,4.0,1660.0,7636800.0,0,0,0,0,1
17,89.0,36.0,3.0,3.0,2180.0,2797200.0,0,0,0,0,1
18,69.0,69.0,2.0,2.0,2500.0,1198800.0,0,1,0,0,0
19,33.0,33.0,1.0,1.0,1400.0,1198800.0,0,1,0,0,0
20,48.0,48.0,6.0,4.0,6190.0,8657500.0,0,0,0,1,0
21,60.0,20.0,3.0,2.0,1.0,1465200.0,0,0,0,0,1
22,55.0,55.0,2.0,2.0,920.0,4173600.0,0,0,0,0,1
23,280.0,126.0,6.0,4.0,15800.0,16872000.0,0,0,0,0,1
24,130.0,65.0,3.0,3.0,1420.0,14089600.0,0,0,0,0,1
25,122.0,61.0,3.0,3.0,1350.0,10774400.0,0,0,0,0,1
26,112.0,61.0,3.0,2.0,1380.0,14326400.0,0,0,0,0,1
27,30.0,30.0,3.0,4.0,4200.0,15963750.0,0,0,0,1,0
28,58.0,58.0,2.0,2.0,6800.0,,0,0,0,0,1
29,59.0,59.0,2.0,2.0,830.0,9923400.0,0,0,0,0,1
30,60.0,60.0,2.0,2.0,920.0,4173600.0,0,0,0,0,1
31,65.0,65.0,2.0,2.0,835.0,5683200.0,0,0,0,0,1
32,48.0,48.0,3.0,2.0,1980.0,2486400.0,0,0,0,0,1
33,87.0,87.0,3.0,2.0,1850.0,5550000.0,0,0,0,0,1
34,75.0,75.0,2.0,2.0,1250.0,3374400.0,0,0,0,0,1
35,1500.0,240.0,10.0,10.0,87000.0,7992000.0,0,0,0,0,1
36,1.0,1.0,3.0,2.0,1470.0,5490800.0,0,0,0,0,1
37,74.0,74.0,2.0,2.0,1790.0,8524800.0,0,0,0,0,1
38,45.5,45.5,4.0,3.0,2093.0,4262400.0,0,0,0,0,1
39,430.0,430.0,5.0,4.0,24999.0,3330000.0,0,0,0,0,1
40,84.0,42.0,2.0,2.0,1483.0,8580300.0,0,0,0,0,1
41,62.0,62.0,2.0,2.0,1330.0,4617600.0,0,0,0,0,1
42,74.0,74.0,2.0,2.0,1805.0,25396800.0,0,0,0,0,1
